learnerid, totalconcepttime, totalconceptcount, complete_initial_questionaire_count, correct_answer_count, incomplete_answer_count, incorrect_answer_count, login_count, logout_count, reset_profile_count, view_concept_count, view_test_count, elgrid-easy, future-elgrid, future-use-tools, prac-apply-concepts, prac-env-easy, prac-good-eval, practical-access, practical-understood, tests-good-eval, theory-comp-prac, too-easy, too-hard, traffic-light-prac, traffic-understood, trafficlights-nav, tutor-req, projectmark, elgridmark, totalmark, gender, level
137, 350, 28, 2, 11, 0, 0, 3, 2, 0, 33, 3, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, postdoc
138, 214, 34, 0, 0, 0, 0, 2, 1, 0, 36, 1, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, M, ?
149, 3738, 188, 2, 172, 3, 33, 8, 1, 1, 220, 22, Somewhat Agree, Strongly Disagree, Strongly Disagree, Neither Agree nor Disagree, Strongly Disagree, Strongly Agree, Somewhat Disagree, Somewhat Agree, Somewhat Agree, Neither Agree nor Disagree, Neither Agree nor Disagree, Somewhat Disagree, Somewhat Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Somewhat Agree, 90, 90, 90, M, undergrad
150, 5246, 149, 2, 26, 0, 7, 9, 4, 0, 163, 8, Strongly Agree, Strongly Agree, Strongly Agree, Strongly Agree, Strongly Agree, Strongly Agree, Somewhat Agree, Strongly Agree, Strongly Agree, Strongly Agree, Strongly Disagree, Strongly Disagree, Somewhat Agree, Somewhat Agree, Strongly Agree, Neither Agree nor Disagree, 70, 60, 66, M, undergrad
151, 1462891, 102, 2, 14, 1, 1, 10, 1, 0, 117, 6, Strongly Agree, Strongly Agree, Somewhat Agree, Strongly Agree, Somewhat Agree, Strongly Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Strongly Agree, Strongly Disagree, Strongly Disagree, Strongly Agree, Strongly Disagree, Strongly Disagree, Strongly Disagree, 90, 100, 94, M, undergrad
152, 12143, 294, 1, 7, 0, 3, 14, 12, 0, 316, 10, Strongly Agree, Somewhat Agree, Somewhat Disagree, Somewhat Agree, Neither Agree nor Disagree, Somewhat Agree, Strongly Agree, Somewhat Agree, Strongly Agree, Somewhat Agree, Somewhat Disagree, Neither Agree nor Disagree, Somewhat Disagree, Strongly Agree, Strongly Agree, Strongly Agree, 60, 100, 76, M, undergrad
153, 92493, 198, 1, 24, 1, 2, 13, 2, 0, 218, 9, Strongly Agree, Somewhat Agree, Neither Agree nor Disagree, Strongly Agree, Neither Agree nor Disagree, Strongly Agree, Somewhat Agree, Strongly Agree, Strongly Agree, Strongly Agree, Strongly Disagree, Somewhat Disagree, Neither Agree nor Disagree, Somewhat Agree, Somewhat Disagree, Somewhat Disagree, 90, 100, 94, M, undergrad
154, 18597, 201, 3, 8, 0, 2, 11, 4, 0, 224, 13, Somewhat Agree, Neither Agree nor Disagree, Somewhat Disagree, Neither Agree nor Disagree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Strongly Agree, Neither Agree nor Disagree, Somewhat Agree, Strongly Disagree, Neither Agree nor Disagree, Somewhat Agree, Somewhat Agree, Somewhat Agree, 70, 100, 82, M, undergrad
155, 12761, 167, 3, 37, 2, 8, 13, 3, 0, 190, 19, Somewhat Agree, Somewhat Agree, Somewhat Disagree, Somewhat Agree, Neither Agree nor Disagree, Neither Agree nor Disagree, Somewhat Agree, Somewhat Agree, Somewhat Disagree, Somewhat Agree, Neither Agree nor Disagree, Strongly Disagree, Somewhat Disagree, Somewhat Disagree, Somewhat Agree, Somewhat Agree, 70, 100, 82, M, undergrad
156, 38164, 195, 3, 144, 5, 27, 11, 1, 0, 248, 29, Somewhat Agree, Somewhat Agree, Somewhat Disagree, Somewhat Agree, Strongly Agree, Somewhat Agree, Neither Agree nor Disagree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Disagree, Strongly Disagree, Somewhat Disagree, Somewhat Agree, Somewhat Agree, Strongly Disagree, 80, 90, 84, M, undergrad
157, 23663, 261, 1, 19, 1, 1, 17, 2, 0, 282, 10, Strongly Agree, Somewhat Agree, Somewhat Disagree, Neither Agree nor Disagree, Somewhat Disagree, Somewhat Agree, Somewhat Disagree, Strongly Agree, Neither Agree nor Disagree, Strongly Agree, Strongly Agree, Somewhat Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Strongly Agree, 80, 100, 88, M, undergrad
158, 3307, 83, 0, 46, 3, 5, 5, 1, 0, 94, 6, Somewhat Agree, Strongly Agree, Strongly Disagree, Somewhat Agree, Neither Agree nor Disagree, Strongly Agree, Somewhat Agree, Strongly Agree, Neither Agree nor Disagree, Strongly Agree, Neither Agree nor Disagree, Strongly Disagree, Strongly Agree, Neither Agree nor Disagree, Neither Agree nor Disagree, Strongly Disagree, 70, 100, 82, M, undergrad
159, 12548, 103, 2, 13, 0, 7, 11, 1, 0, 120, 9, Somewhat Agree, Strongly Agree, Neither Agree nor Disagree, Somewhat Agree, Somewhat Agree, Neither Agree nor Disagree, Somewhat Agree, Neither Agree nor Disagree, Somewhat Agree, Somewhat Agree, Neither Agree nor Disagree, Strongly Disagree, Strongly Agree, Somewhat Agree, Neither Agree nor Disagree, Somewhat Disagree, 80, 100, 88, M, undergrad
160, 7368, 137, 1, 13, 0, 7, 8, 1, 0, 151, 9, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Neither Agree nor Disagree, Somewhat Agree, Strongly Agree, Somewhat Agree, Somewhat Disagree, Strongly Disagree, Strongly Agree, Strongly Agree, Strongly Agree, Somewhat Agree, 80, 100, 88, M, undergrad
161, 19072, 565, 7, 188, 3, 33, 21, 3, 5, 626, 72, Neither Agree nor Disagree, Somewhat Agree, Somewhat Disagree, Somewhat Agree, Neither Agree nor Disagree, Somewhat Agree, Somewhat Disagree, Neither Agree nor Disagree, Somewhat Agree, Somewhat Agree, Strongly Disagree, Neither Agree nor Disagree, Somewhat Agree, Somewhat Agree, Somewhat Agree, Somewhat Agree, 60, 90, 72, M, undergrad
162, 10767, 123, 1, 19, 0, 3, 9, 3, 0, 135, 6, Somewhat Agree, Strongly Agree, Strongly Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Neither Agree nor Disagree, Somewhat Disagree, Somewhat Disagree, Strongly Disagree, Neither Agree nor Disagree, Strongly Disagree, Somewhat Agree, Somewhat Disagree, Strongly Agree, 60, 100, 76, M, undergrad
163, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, ?, F, academic
